word,bounds,flag,label,radical,pinyin
临,B,vn,O,丨,lín
床,E,vn,O,广,chuáng
研,B,vn,O,石,yán
究,E,vn,O,穴,jiū
LB,S,x,O,UNK,UNK
血,B,n,B-Anatomy,血,xiě
清,E,n,I-Anatomy,氵,qīng
血,B,n,I-Anatomy,血,xiě
管,E,n,I-Anatomy,竹,guǎn
生,B,l,I-Anatomy,生,shēng
成,M,l,I-Anatomy,戈,chéng
素,E,l,I-Anatomy,糸,sù
样,S,n,I-Anatomy,木,yàng
蛋,B,n,I-Anatomy,虫,dàn
白,E,n,I-Anatomy,白,bái
SPACE,S,x,I-Anatomy,UNK,UNK
num,S,x,I-Anatomy,UNK,UNK
SPACE,S,x,O,UNK,UNK
水,B,n,O,水,shuǐ
平,E,n,O,干,píng
与,S,p,O,一,yǔ
SPACE,S,x,O,UNK,UNK
num,S,x,B-Disease,UNK,UNK
SPACE,S,x,I-Disease,UNK,UNK
型,S,k,I-Disease,土,xíng
糖,B,n,I-Disease,米,táng
尿,M,n,I-Disease,尸,niào
病,E,n,I-Disease,疒,bìng
大,S,a,B-Disease,大,dà
血,B,n,I-Disease,血,xiě
管,E,n,I-Disease,竹,guǎn
并,B,l,I-Disease,干,bìng
发,M,l,I-Disease,又,fā
症,E,l,I-Disease,疒,zhèng
的,S,uj,O,白,dí
LB,S,x,O,UNK,UNK
相,B,l,O,目,xiāng
关,M,l,O,丷,guān
性,E,l,O,忄,xìng
研,B,vn,O,石,yán
究,E,vn,O,穴,jiū
LB,S,x,O,UNK,UNK
杜,B,nr,O,木,dù
幸,E,nr,O,干,xìng
SPACE,S,x,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
谢,B,nr,O,讠,xiè
莹,E,nr,O,艹,yíng
SPACE,S,x,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
宗,S,nr,O,宀,zōng
海,B,n,O,氵,hǎi
军,E,n,O,冖,jūn
SPACE,S,x,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
黄,B,nr,O,黄,huáng
韵,E,nr,O,音,yùn
SPACE,S,x,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
肖,B,nr,O,月,xiāo
文,M,nr,O,文,wén
金,E,nr,O,金,jīn
LB,S,x,O,UNK,UNK
[,S,x,O,UNK,UNK
提,B,v,O,扌,tí
要,E,v,O,覀,yào
],S,x,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
本,B,r,O,木,běn
文,E,r,O,文,wén
主,B,b,O,丶,zhǔ
要,E,b,O,覀,yào
探,B,v,O,扌,tàn
讨,E,v,O,讠,tǎo
人,S,n,B-Anatomy,人,rén
血,B,n,I-Anatomy,血,xiě
清,E,n,I-Anatomy,氵,qīng
血,B,n,I-Anatomy,血,xiě
管,E,n,I-Anatomy,竹,guǎn
生,B,l,I-Anatomy,生,shēng
成,M,l,I-Anatomy,戈,chéng
素,E,l,I-Anatomy,糸,sù
样,S,n,I-Anatomy,木,yàng
蛋,B,n,I-Anatomy,虫,dàn
白,E,n,I-Anatomy,白,bái
SPACE,S,x,I-Anatomy,UNK,UNK
num,S,x,I-Anatomy,UNK,UNK
(,S,x,O,UNK,UNK
A,B,eng,O,UNK,UNK
n,M,eng,O,UNK,UNK
g,M,eng,O,UNK,UNK
p,M,eng,O,UNK,UNK
t,M,eng,O,UNK,UNK
l,E,eng,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
num,S,x,O,UNK,UNK
),S,x,O,UNK,UNK
是,B,v,O,日,shì
否,E,v,O,口,fǒu
与,S,p,O,一,yǔ
SPACE,S,x,O,UNK,UNK
num,S,x,B-Disease,UNK,UNK
SPACE,S,x,I-Disease,UNK,UNK
型,S,k,I-Disease,土,xíng
糖,B,n,I-Disease,米,táng
尿,M,n,I-Disease,尸,niào
病,E,n,I-Disease,疒,bìng
大,S,a,B-Disease,大,dà
血,B,n,I-Disease,血,xiě
管,E,n,I-Disease,竹,guǎn
并,B,l,I-Disease,干,bìng
发,M,l,I-Disease,又,fā
症,E,l,I-Disease,疒,zhèng
相,B,v,O,目,xiāng
关,E,v,O,丷,guān
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,E,vn,O,UNK,UNK
研,B,vn,O,石,yán
究,E,vn,O,穴,jiū
发,S,x,O,又,fā
现,B,n,B-Anatomy,见,xiàn
对,E,n,I-Anatomy,寸,duì
照,B,n,I-Anatomy,灬,zhào
组,E,n,I-Anatomy,纟,zǔ
、,B,l,I-Anatomy,UNK,UNK
num,M,l,I-Anatomy,UNK,UNK
SPACE,E,l,I-Anatomy,UNK,UNK
型,S,n,I-Anatomy,土,xíng
糖,B,n,I-Anatomy,米,táng
尿,E,n,I-Anatomy,尸,niào
病,S,x,I-Anatomy,疒,bìng
有,S,x,I-Anatomy,月,yǒu
或,S,x,O,戈,huò
无,B,n,O,一,wú
颈,E,n,O,页,jǐng
动,S,p,O,力,dòng
脉,S,x,O,月,mài
粥,S,x,B-Disease,米,zhōu
样,S,x,I-Disease,木,yàng
硬,S,k,I-Disease,石,yìng
化,B,n,I-Disease,亻,huà
组,M,n,I-Disease,纟,zǔ
的,E,n,I-Disease,白,dí
血,S,a,B-Disease,血,xiě
清,B,n,I-Disease,氵,qīng
SPACE,E,n,I-Disease,UNK,UNK
A,B,l,I-Disease,UNK,UNK
n,M,l,I-Disease,UNK,UNK
g,E,l,I-Disease,UNK,UNK
p,S,uj,O,UNK,UNK
t,S,x,O,UNK,UNK
l,B,l,O,UNK,UNK
SPACE,M,l,O,UNK,UNK
num,E,l,O,UNK,UNK
SPACE,B,vn,O,UNK,UNK
浓,E,vn,O,氵,nóng
度,S,x,O,广,dù
有,B,nr,O,月,yǒu
统,E,nr,O,纟,tǒng
计,S,x,O,讠,jì
学,S,x,O,子,xué
差,B,nr,O,工,chà
异,E,nr,O,廾,yì
sep,sep,sep,sep,sep,sep
num,B,vn,O,UNK,UNK
.,E,vn,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
num,B,n,B-Anatomy,UNK,UNK
num,E,n,I-Anatomy,UNK,UNK
(,B,n,I-Anatomy,UNK,UNK
num,E,n,I-Anatomy,UNK,UNK
.,B,l,I-Anatomy,UNK,UNK
SPACE,M,l,I-Anatomy,UNK,UNK
num,E,l,I-Anatomy,UNK,UNK
num,S,n,I-Anatomy,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,E,vn,O,UNK,UNK
num,S,x,O,UNK,UNK
.,B,n,B-Anatomy,UNK,UNK
SPACE,E,n,I-Anatomy,UNK,UNK
num,B,n,I-Anatomy,UNK,UNK
num,E,n,I-Anatomy,UNK,UNK
),B,l,I-Anatomy,UNK,UNK
、,M,l,I-Anatomy,UNK,UNK
num,E,l,I-Anatomy,UNK,UNK
.,S,n,I-Anatomy,UNK,UNK
SPACE,B,n,I-Anatomy,UNK,UNK
sep,sep,sep,sep,sep,sep
num,S,x,O,UNK,UNK
.,B,n,B-Anatomy,UNK,UNK
SPACE,E,n,I-Anatomy,UNK,UNK
num,B,n,I-Anatomy,UNK,UNK
num,E,n,I-Anatomy,UNK,UNK
SPACE,B,l,I-Anatomy,UNK,UNK
~,M,l,I-Anatomy,UNK,UNK
SPACE,E,l,I-Anatomy,UNK,UNK
num,S,n,I-Anatomy,UNK,UNK
.,B,n,I-Anatomy,UNK,UNK
SPACE,E,n,I-Anatomy,UNK,UNK
sep,sep,sep,sep,sep,sep
num,B,n,B-Anatomy,UNK,UNK
.,E,n,I-Anatomy,UNK,UNK
SPACE,B,n,I-Anatomy,UNK,UNK
num,E,n,I-Anatomy,UNK,UNK
num,B,l,I-Anatomy,UNK,UNK
(,M,l,I-Anatomy,UNK,UNK
num,E,l,I-Anatomy,UNK,UNK
.,S,n,I-Anatomy,UNK,UNK
sep,sep,sep,sep,sep,sep
SPACE,E,n,I-Anatomy,UNK,UNK
num,B,n,I-Anatomy,UNK,UNK
.,E,n,I-Anatomy,UNK,UNK
SPACE,B,l,I-Anatomy,UNK,UNK
num,M,l,I-Anatomy,UNK,UNK
num,E,l,I-Anatomy,UNK,UNK
),S,n,I-Anatomy,UNK,UNK
n,B,n,I-Anatomy,UNK,UNK
g,E,n,I-Anatomy,UNK,UNK
SPACE,S,x,I-Anatomy,UNK,UNK
sep,sep,sep,sep,sep,sep
SPACE,B,n,I-Anatomy,UNK,UNK
L,E,n,I-Anatomy,UNK,UNK
o,B,l,I-Anatomy,UNK,UNK
g,M,l,I-Anatomy,UNK,UNK
i,E,l,I-Anatomy,UNK,UNK
s,S,n,I-Anatomy,UNK,UNK
t,B,n,I-Anatomy,UNK,UNK
i,E,n,I-Anatomy,UNK,UNK
c,S,x,I-Anatomy,UNK,UNK
SPACE,S,x,I-Anatomy,UNK,UNK
回,S,x,O,囗,huí
归,B,n,O,彐,guī
显,E,n,O,日,xiǎn
示,S,p,O,示,shì
血,S,x,O,血,xiě
清,S,x,B-Disease,氵,qīng
SPACE,S,x,I-Disease,UNK,UNK
A,S,k,I-Disease,UNK,UNK
n,B,n,I-Disease,UNK,UNK
g,M,n,I-Disease,UNK,UNK
p,E,n,I-Disease,UNK,UNK
t,S,a,B-Disease,UNK,UNK
l,B,n,I-Disease,UNK,UNK
SPACE,E,n,I-Disease,UNK,UNK
num,B,l,I-Disease,UNK,UNK
SPACE,M,l,I-Disease,UNK,UNK
作,E,l,I-Disease,亻,zuò
为,S,uj,O,丶,wéi
独,S,x,O,犭,dú
立,B,l,O,立,lì
因,M,l,O,囗,yīn
素,E,l,O,糸,sù
影,B,vn,O,彡,yǐng
响,E,vn,O,口,xiǎng
SPACE,S,x,O,UNK,UNK
num,B,nr,O,UNK,UNK
LB,E,nr,O,UNK,UNK
型,S,x,O,土,xíng
糖,S,x,O,米,táng
尿,B,nr,O,尸,niào
病,E,nr,O,疒,bìng
患,S,x,O,心,huàn
者,S,x,O,耂,zhě
大,S,nr,O,大,dà
血,B,n,O,血,xiě
管,E,n,O,竹,guǎn
并,S,x,O,干,bìng
发,S,x,O,又,fā
sep,sep,sep,sep,sep,sep
LB,E,n,I-Anatomy,UNK,UNK
[,B,l,I-Anatomy,UNK,UNK
关,M,l,I-Anatomy,丷,guān
键,E,l,I-Anatomy,钅,jiàn
词,S,n,I-Anatomy,讠,cí
sep,sep,sep,sep,sep,sep
SPACE,B,l,I-Anatomy,UNK,UNK
num,M,l,I-Anatomy,UNK,UNK
SPACE,E,l,I-Anatomy,UNK,UNK
型,S,n,I-Anatomy,土,xíng
;,B,n,I-Anatomy,UNK,UNK
SPACE,E,n,I-Anatomy,UNK,UNK
动,S,x,I-Anatomy,力,dòng
脉,S,x,I-Anatomy,月,mài
粥,S,x,O,米,zhōu
样,B,n,O,木,yàng
硬,E,n,O,石,yìng
化,S,p,O,亻,huà
;,S,x,O,UNK,UNK
SPACE,S,x,B-Disease,UNK,UNK
血,S,x,I-Disease,血,xiě
管,S,k,I-Disease,竹,guǎn
生,B,n,I-Disease,生,shēng
成,M,n,I-Disease,戈,chéng
素,E,n,I-Disease,糸,sù
样,S,a,B-Disease,木,yàng
蛋,B,n,I-Disease,虫,dàn
白,E,n,I-Disease,白,bái
SPACE,B,l,I-Disease,UNK,UNK
num,M,l,I-Disease,UNK,UNK
LB,E,l,I-Disease,UNK,UNK
T,S,uj,O,UNK,UNK
h,S,x,O,UNK,UNK
e,B,l,O,UNK,UNK
SPACE,M,l,O,UNK,UNK
a,E,l,O,UNK,UNK
s,B,vn,O,UNK,UNK
s,E,vn,O,UNK,UNK
o,S,x,O,UNK,UNK
c,B,nr,O,UNK,UNK
