word,bounds,flag,label,radical,pinyin
成,B,n,O,戈,chéng
人,E,n,O,人,rén
num,S,m,B-Disease,UNK,UNK
型,S,k,I-Disease,土,xíng
糖,B,n,I-Disease,米,táng
尿,M,n,I-Disease,尸,niào
病,E,n,I-Disease,疒,bìng
胰,B,n,B-Drug,月,yí
岛,M,n,I-Drug,山,dǎo
素,E,n,I-Drug,糸,sù
临,B,vn,O,丨,lín
床,E,vn,O,广,chuáng
应,B,v,O,广,yīng
用,E,v,O,用,yòng
的,S,uj,O,白,dí
中,B,ns,O,丨,zhōng
国,E,ns,O,囗,guó
专,B,n,O,一,zhuān
家,E,n,O,宀,jiā
LB,S,x,O,UNK,UNK
共,B,n,O,八,gòng
识,E,n,O,讠,shí
LB,S,x,O,UNK,UNK
前,S,f,O,刂,qián
SPACE,S,x,O,UNK,UNK
言,S,vg,O,言,yán
LB,S,x,O,UNK,UNK
糖,B,n,B-Disease,米,táng
尿,M,n,I-Disease,尸,niào
病,E,n,I-Disease,疒,bìng
已,S,d,O,己,yǐ
成,B,v,O,戈,chéng
为,E,v,O,丶,wéi
严,B,n,O,一,yán
重,M,n,O,里,zhòng
威,M,n,O,女,wēi
胁,E,n,O,月,xié
国,B,n,O,囗,guó
人,E,n,O,人,rén
健,B,a,O,亻,jiàn
康,E,a,O,广,kāng
的,S,uj,O,白,dí
最,S,a,O,曰,zuì
重,B,a,O,里,zhòng
要,E,a,O,覀,yào
的,S,uj,O,白,dí
慢,B,b,B-Disease,忄,màn
性,E,b,I-Disease,忄,xìng
LB,S,x,I-Disease,UNK,UNK
非,S,h,I-Disease,非,fēi
传,B,n,I-Disease,亻,chuán
染,M,n,I-Disease,木,rǎn
性,E,n,I-Disease,忄,xìng
疾,B,n,I-Disease,疒,jí
病,E,n,I-Disease,疒,bìng
之,B,r,O,丶,zhī
一,E,r,O,一,yī
[,S,x,O,UNK,UNK
num,S,x,O,UNK,UNK
’,S,x,O,UNK,UNK
num,S,x,O,UNK,UNK
],S,x,O,UNK,UNK
",",S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
但,E,n,O,亻,dàn
糖,S,m,B-Disease,米,táng
尿,S,k,I-Disease,尸,niào
病,B,n,I-Disease,疒,bìng
控,M,n,I-Disease,扌,kòng
制,E,n,I-Disease,刂,zhì
状,B,n,B-Drug,犬,zhuàng
况,M,n,I-Drug,冫,kuàng
在,E,n,I-Drug,土,zài
我,B,vn,O,戈,wǒ
国,E,vn,O,囗,guó
并,B,v,O,干,bìng
LB,E,v,O,UNK,UNK
不,S,uj,O,一,bù
容,B,ns,O,宀,róng
乐,E,ns,O,丿,lè
观,B,n,O,见,guān
sep,sep,sep,sep,sep,sep
甚,S,m,B-Disease,甘,shèn
至,S,k,I-Disease,至,zhì
按,B,n,I-Disease,扌,àn
纵,M,n,I-Disease,纟,zòng
向,E,n,I-Disease,口,xiàng
比,B,n,B-Drug,比,bǐ
sep,sep,sep,sep,sep,sep
血,S,k,I-Disease,血,xiě
糖,B,n,I-Disease,米,táng
控,M,n,I-Disease,扌,kòng
制,E,n,I-Disease,刂,zhì
情,B,n,B-Drug,忄,qíng
况,M,n,I-Drug,冫,kuàng
亦,E,n,I-Drug,亠,yì
无,B,vn,O,一,wú
显,E,vn,O,日,xiǎn
著,B,v,O,艹,zhù
改,E,v,O,攵,gǎi
LB,S,uj,O,UNK,UNK
善,B,ns,O,口,shàn
sep,sep,sep,sep,sep,sep
num,B,n,I-Disease,UNK,UNK
num,M,n,I-Disease,UNK,UNK
。,E,n,I-Disease,UNK,UNK
num,B,n,B-Drug,UNK,UNK
num,M,n,I-Drug,UNK,UNK
num,E,n,I-Drug,UNK,UNK
SPACE,B,vn,O,UNK,UNK
num,E,vn,O,UNK,UNK
年,B,v,O,干,nián
公,E,v,O,八,gōng
布,S,uj,O,巾,bù
现,B,ns,O,见,xiàn
状,E,ns,O,犬,zhuàng
调,B,n,O,讠,tiáo
查,E,n,O,木,chá
显,S,x,O,日,xiǎn
示,B,n,O,示,shì
口,E,n,O,口,kǒu
服,S,x,O,月,fú
药,S,f,O,艹,yào
联,S,x,O,耳,lián
合,S,vg,O,口,hé
胰,S,x,O,月,yí
岛,B,n,B-Disease,山,dǎo
素,M,n,I-Disease,糸,sù
LB,E,n,I-Disease,UNK,UNK
治,S,d,O,氵,zhì
疗,B,v,O,疒,liáo
的,E,v,O,白,dí
患,B,n,O,心,huàn
者,M,n,O,耂,zhě
中,M,n,O,丨,zhōng
num,E,n,O,UNK,UNK
num,B,n,O,UNK,UNK
%,E,n,O,UNK,UNK
H,B,a,O,UNK,UNK
B,E,a,O,UNK,UNK
A,S,uj,O,UNK,UNK
num,S,a,O,UNK,UNK
sep,sep,sep,sep,sep,sep
